Lat.,Long.,Titolo,Id,Nr. Incendio,Data Incendio,Ora Accertamento,Ora Richiesta,Regione,Provincia,Comune,Località,DMS_lat,DMS_lon
42.451,12.033,,15905,11,26/06/2022,26/06/2022 18:01,18:14,Lazio,Viterbo,Viterbo,Monetrazzano,42° 27' 03'' N,12° 01' 58'' E
43.453,12.023,,15906,12,26/06/2022,26/06/2022 18:20,18:29,Toscana,Arezzo,Arezzo,Socena,43° 27' 10'' N,12° 01' 22'' E
38.163,15.68,,15907,13,26/06/2022,26/06/2022 18:09,18:35,Calabria,Reggio di Calabria,Reggio di Calabria,Contrada Zarmà,38° 09' 46'' N,15° 40' 47'' E
41.689,16.002,,15879,1,25/06/2022,25/06/2022 05:00,05:57,Puglia,Foggia,Monte Sant'Angelo,Macchia,41° 41' 20'' N,16° 00' 07'' E
38.105,13.267,,15880,2,25/06/2022,25/06/2022 06:12,06:17,Sicilia,Palermo,Palermo,Valle Paradiso - Palermo (PA),38° 06' 17'' N,13° 16' 01'' E
38.254,15.57,,15881,3,25/06/2022,25/06/2022 08:50,09:05,Sicilia,Messina,Messina,marotta superiore,38° 15' 14'' N,15° 34' 12'' E
37.207,15.08,,15882,4,25/06/2022,25/06/2022 11:11,11:25,Sicilia,Siracusa,Melilli,MASSERIA PARISI,37° 12' 25'' N,15° 04' 48'' E
37.613,13.299,,15883,5,25/06/2022,25/06/2022 11:21,11:42,Sicilia,Agrigento,Burgio,C.DA SPARACIA,37° 36' 46'' N,13° 17' 56'' E
40.335,9.536,,15884,6,25/06/2022,25/06/2022 12:31,12:56,Sardegna,Nuoro,Dorgali,Serra Orrios,40° 20' 06'' N,09° 32' 09'' E
38.175,15.681,,15885,7,25/06/2022,25/06/2022 13:00,13:21,Calabria,Reggio di Calabria,Reggio di Calabria,,38° 10' 29'' N,15° 40' 51'' E
38.023,15.676,,15886,8,25/06/2022,25/06/2022 13:44,13:53,Calabria,Reggio di Calabria,Reggio di Calabria,Contrada Cutuli,38° 01' 22'' N,15° 40' 33'' E
38.211,15.744,,15887,9,25/06/2022,25/06/2022 14:35,14:43,Calabria,Reggio di Calabria,San Roberto,Florastro,38° 12' 39'' N,15° 44' 38'' E
39.746,8.687,,15888,10,25/06/2022,25/06/2022 15:10,15:18,Sardegna,Oristano,Marrubiu,NURAGHE SPUGNAU,39° 44' 45'' N,08° 41' 13'' E
39.813,8.888,,15889,11,25/06/2022,25/06/2022 15:18,15:28,Sardegna,Oristano,Assolo,SERRA GUREU,39° 48' 46'' N,08° 53' 16'' E
38.099,13.261,,15890,12,25/06/2022,25/06/2022 12:13,16:43,Sicilia,Palermo,Monreale,Monte Pietroso,38° 05' 56'' N,13° 15' 39'' E
41.141,16.108,,15891,13,25/06/2022,25/06/2022 14:35,16:56,Puglia,Barletta-Andria-Trani,Minervino Murge,campo verde,41° 08' 27'' N,16° 06' 28'' E
